8 * 2 * 22 * 97 = 34144   -->solution=0
57 * 29 * 42 * 89=6178914  -->solution=48477312
29 * 42 * 89 * 2=216804  -->solution=48477312
42 * 89 * 2 * 10=74760  -->solution=48477312
89 * 2 * 10 * 20=35600  -->solution=48477312
2 * 10 * 20 * 26=10400  -->solution=48477312
10 * 20 * 26 * 44=228800  -->solution=48477312
20 * 26 * 44 * 67=1532960  -->solution=48477312
26 * 44 * 67 * 47=3602456  -->solution=48477312
44 * 67 * 47 * 7=969892  -->solution=48477312
67 * 47 * 7 * 69=1520967  -->solution=48477312
47 * 7 * 69 * 16=363216  -->solution=48477312
7 * 69 * 16 * 72=556416  -->solution=48477312
69 * 16 * 72 * 11=874368  -->solution=48477312
16 * 72 * 11 * 88=1115136  -->solution=48477312
72 * 11 * 88 * 1=69696  -->solution=48477312
11 * 88 * 1 * 69=66792  -->solution=48477312

0 * 60 * 93 * 69=0  -->solution=48477312
60 * 93 * 69 * 41=15785820  -->solution=48477312
93 * 69 * 41 * 44=11576268  -->solution=48477312
69 * 41 * 44 * 26=3236376  -->solution=48477312
41 * 44 * 26 * 95=4455880  -->solution=48477312
44 * 26 * 95 * 97=10541960  -->solution=48477312
26 * 95 * 97 * 20=4791800  -->solution=48477312
95 * 97 * 20 * 15=2764500  -->solution=48477312
97 * 20 * 15 * 55=1600500  -->solution=48477312
20 * 15 * 55 * 5=82500  -->solution=48477312
15 * 55 * 5 * 28=115500  -->solution=48477312
55 * 5 * 28 * 7=53900  -->solution=48477312
5 * 28 * 7 * 3=2940  -->solution=48477312
28 * 7 * 3 * 24=14112  -->solution=48477312
7 * 3 * 24 * 34=17136  -->solution=48477312
3 * 24 * 34 * 74=181152  -->solution=48477312
24 * 34 * 74 * 16=966144  -->solution=48477312

75 * 87 * 71 * 24=11118600  -->solution=48477312
87 * 71 * 24 * 92=13638816  -->solution=48477312
71 * 24 * 92 * 75=11757600  -->solution=48477312
